date,name,category,value
"Sunday, March 8, 2020",Albania,Europe,0
"Monday, March 9, 2020",Albania,Europe,2
"Tuesday, March 10, 2020",Albania,Europe,10
"Wednesday, March 11, 2020",Albania,Europe,12
"Thursday, March 12, 2020",Albania,Europe,23
"Friday, March 13, 2020",Albania,Europe,33
"Saturday, March 14, 2020",Albania,Europe,38
"Sunday, March 15, 2020",Albania,Europe,42
"Monday, March 16, 2020",Albania,Europe,51
"Tuesday, March 17, 2020",Albania,Europe,55
"Wednesday, March 18, 2020",Albania,Europe,59
"Thursday, March 19, 2020",Albania,Europe,64
"Friday, March 20, 2020",Albania,Europe,70
"Saturday, March 21, 2020",Albania,Europe,76
"Sunday, March 22, 2020",Albania,Europe,89
"Monday, March 23, 2020",Albania,Europe,104
"Tuesday, March 24, 2020",Albania,Europe,123
"Wednesday, March 25, 2020",Albania,Europe,146
"Thursday, March 26, 2020",Albania,Europe,174
"Friday, March 27, 2020",Albania,Europe,186
"Saturday, March 28, 2020",Albania,Europe,197
"Sunday, March 29, 2020",Albania,Europe,212
"Monday, March 30, 2020",Albania,Europe,223
"Tuesday, March 31, 2020",Albania,Europe,243
"Wednesday, April 1, 2020",Albania,Europe,259
"Thursday, April 2, 2020",Albania,Europe,277
"Friday, April 3, 2020",Albania,Europe,304
"Saturday, April 4, 2020",Albania,Europe,333
"Sunday, April 5, 2020",Albania,Europe,361
"Monday, April 6, 2020",Albania,Europe,377
"Tuesday, April 7, 2020",Albania,Europe,383
"Wednesday, April 8, 2020",Albania,Europe,400
"Thursday, April 9, 2020",Albania,Europe,409
"Friday, April 10, 2020",Albania,Europe,416
"Saturday, April 11, 2020",Albania,Europe,433
"Sunday, April 12, 2020",Albania,Europe,446
"Monday, April 13, 2020",Albania,Europe,467
"Tuesday, April 14, 2020",Albania,Europe,475
"Wednesday, April 15, 2020",Albania,Europe,494
"Thursday, April 16, 2020",Albania,Europe,518
"Friday, April 17, 2020",Albania,Europe,539
"Saturday, April 18, 2020",Albania,Europe,548
"Sunday, April 19, 2020",Albania,Europe,562
"Monday, April 20, 2020",Albania,Europe,584
"Tuesday, April 21, 2020",Albania,Europe,609
"Wednesday, April 22, 2020",Albania,Europe,634
"Thursday, April 23, 2020",Albania,Europe,663
"Friday, April 24, 2020",Albania,Europe,678
"Saturday, April 25, 2020",Albania,Europe,712
"Sunday, April 26, 2020",Albania,Europe,726
"Monday, April 27, 2020",Albania,Europe,736
"Tuesday, April 28, 2020",Albania,Europe,750
"Wednesday, April 29, 2020",Albania,Europe,766
"Thursday, April 30, 2020",Albania,Europe,773
"Friday, May 1, 2020",Albania,Europe,782
"Saturday, May 2, 2020",Albania,Europe,789
"Sunday, May 3, 2020",Albania,Europe,795
"Monday, May 4, 2020",Albania,Europe,803
"Tuesday, May 5, 2020",Albania,Europe,820
"Wednesday, May 6, 2020",Albania,Europe,832
"Thursday, May 7, 2020",Albania,Europe,842
"Friday, May 8, 2020",Albania,Europe,850
"Saturday, May 9, 2020",Albania,Europe,856
"Sunday, May 10, 2020",Albania,Europe,868
"Monday, May 11, 2020",Albania,Europe,872
"Tuesday, May 12, 2020",Albania,Europe,876
"Wednesday, May 13, 2020",Albania,Europe,880
"Thursday, May 14, 2020",Albania,Europe,898
"Friday, May 15, 2020",Albania,Europe,916
"Saturday, May 16, 2020",Albania,Europe,933
"Sunday, May 17, 2020",Albania,Europe,946
"Monday, May 18, 2020",Albania,Europe,948
"Tuesday, May 19, 2020",Albania,Europe,949
"Wednesday, May 20, 2020",Albania,Europe,964
"Thursday, May 21, 2020",Albania,Europe,969
"Friday, May 22, 2020",Albania,Europe,981
"Saturday, May 23, 2020",Albania,Europe,989
"Sunday, May 24, 2020",Albania,Europe,998
"Monday, May 25, 2020",Albania,Europe,1004
"Tuesday, May 26, 2020",Albania,Europe,1029
"Wednesday, May 27, 2020",Albania,Europe,1050
"Thursday, May 28, 2020",Albania,Europe,1076
"Friday, May 29, 2020",Albania,Europe,1099
"Saturday, May 30, 2020",Albania,Europe,1122
"Sunday, May 31, 2020",Albania,Europe,1137
"Monday, June 1, 2020",Albania,Europe,1143
"Tuesday, June 2, 2020",Albania,Europe,1164
"Wednesday, June 3, 2020",Albania,Europe,1184
