"","date","country","continent","value"
"345",2020-06-03,"Albania","Europe",1184
"346",2020-06-04,"Albania","Europe",1197
"347",2020-06-05,"Albania","Europe",1212
"348",2020-06-06,"Albania","Europe",1232
"349",2020-06-07,"Albania","Europe",1246
"350",2020-06-08,"Albania","Europe",1263
"351",2020-06-09,"Albania","Europe",1299
"352",2020-06-10,"Albania","Europe",1341
"353",2020-06-11,"Albania","Europe",1385
"354",2020-06-12,"Albania","Europe",1416
"355",2020-06-13,"Albania","Europe",1464
"356",2020-06-14,"Albania","Europe",1521
"357",2020-06-15,"Albania","Europe",1590
"358",2020-06-16,"Albania","Europe",1672
"359",2020-06-17,"Albania","Europe",1722
"360",2020-06-18,"Albania","Europe",1788
"361",2020-06-19,"Albania","Europe",1838
"362",2020-06-20,"Albania","Europe",1891
"363",2020-06-21,"Albania","Europe",1962
"364",2020-06-22,"Albania","Europe",1995
"365",2020-06-23,"Albania","Europe",2047
"366",2020-06-24,"Albania","Europe",2114
"367",2020-06-25,"Albania","Europe",2192
"368",2020-06-26,"Albania","Europe",2269
"369",2020-06-27,"Albania","Europe",2330
"370",2020-06-28,"Albania","Europe",2402
"371",2020-06-29,"Albania","Europe",2466
"372",2020-06-30,"Albania","Europe",2535
"373",2020-07-01,"Albania","Europe",2580
"374",2020-07-02,"Albania","Europe",2662
"375",2020-07-03,"Albania","Europe",2752
"376",2020-07-04,"Albania","Europe",2819
"377",2020-07-05,"Albania","Europe",2893
"378",2020-07-06,"Albania","Europe",2964
"379",2020-07-07,"Albania","Europe",3038
"380",2020-07-08,"Albania","Europe",3106
"381",2020-07-09,"Albania","Europe",3188
"382",2020-07-10,"Albania","Europe",3278
"383",2020-07-11,"Albania","Europe",3371
"384",2020-07-12,"Albania","Europe",3454
"385",2020-07-13,"Albania","Europe",3571
"386",2020-07-14,"Albania","Europe",3667
"387",2020-07-15,"Albania","Europe",3752
"388",2020-07-16,"Albania","Europe",3851
"389",2020-07-17,"Albania","Europe",3906
"390",2020-07-18,"Albania","Europe",4008
"391",2020-07-19,"Albania","Europe",4090
"392",2020-07-20,"Albania","Europe",4171
"393",2020-07-21,"Albania","Europe",4290
"394",2020-07-22,"Albania","Europe",4358
"395",2020-07-23,"Albania","Europe",4466
"396",2020-07-24,"Albania","Europe",4570
"397",2020-07-25,"Albania","Europe",4637
"398",2020-07-26,"Albania","Europe",4763
"399",2020-07-27,"Albania","Europe",4880
"400",2020-07-28,"Albania","Europe",4997
"401",2020-07-29,"Albania","Europe",5105
"402",2020-07-30,"Albania","Europe",5197
"403",2020-07-31,"Albania","Europe",5276
"404",2020-08-01,"Albania","Europe",5396
"405",2020-08-02,"Albania","Europe",5519
"406",2020-08-03,"Albania","Europe",5620
"407",2020-08-04,"Albania","Europe",5750
"408",2020-08-05,"Albania","Europe",5889
"409",2020-08-06,"Albania","Europe",6016
"410",2020-08-07,"Albania","Europe",6151
"411",2020-08-08,"Albania","Europe",6275
"412",2020-08-09,"Albania","Europe",6411
"413",2020-08-10,"Albania","Europe",6536
"414",2020-08-11,"Albania","Europe",6676
"415",2020-08-12,"Albania","Europe",6817
