id,nom_bureau,categorie,Code_postal,ville,Code_INSEE,lat,lng,latlong
00168A,THOIRY BP,Bureau de Poste,1710,THOIRY,1419,46.236497,5.980417,46.236497
01115A,SAINT JUST D ARDECHE AP,Agence postale communale,7700,ST JUST D ARDECHE,7259,44.304798,4.609624,44.304798
04191A,MONTPON MENESTEROL,Bureau de Poste,24700,MONTPON MENESTEROL,24294,45.009588,0.159931,45.009588
00170A,TORCIEU RP,Relais poste commer??ant,1230,TORCIEU,1421,45.920714,5.396903,45.920714
01125A,ST MONTAN AP,Agence postale communale,7220,ST MONTAN,7279,44.438774,4.625404,44.438774
04199A,NONTRON,Bureau de Poste,24300,NONTRON,24311,45.52727,0.660546,45.52727
00174A,TREVOUX,Bureau de Poste,1600,TREVOUX,1427,45.939894,4.780766,45.939894
01127A,SAINT PERAY BP,Bureau de Poste,7130,ST PERAY,7281,44.946045,4.844788,44.946045
04204A,PERIGUEUX THEATRE,Bureau de Poste,24000,PERIGUEUX,24322,45.185298,0.717557,45.185298
00175A,VAUX EN BUGEY RP,Relais poste commer??ant,1150,VAUX EN BUGEY,1431,45.928785,5.354389,45.928785
01136A,SAINT VICTOR AP,Agence postale communale,7410,ST VICTOR,7301,45.100472,4.673861,45.100472
04205A,PETIT BERSAC AP,Agence postale communale,24600,PETIT BERSAC,24323,45.288492,0.23143,45.288492
00182A,VILLEREVERSURE RP,Relais poste commer??ant,1250,VILLEREVERSURE,1447,46.194108,5.398662,46.194108
01140A,LA SOUCHE AP,Agence postale communale,7380,LA SOUCHE,7315,44.62868,4.201706,44.62868
04209A,POMPORT AP,Agence postale communale,24240,POMPORT,24331,44.779794,0.418047,44.779794
00197A,OYONNAX ANATOLE FRANCE BP,Bureau de Poste,1100,OYONNAX,1283,46.258804,5.657085,46.258804
01144A,TOULAUD AP,Agence postale communale,7130,TOULAUD,7323,44.897006,4.818219,44.897006
04220A,SAINT ANTOINE DE BREUILH BP,Bureau de Poste,24230,ST ANTOINE DE BREUILH,24370,44.845209,0.154431,44.845209
00209A,AULNOIS SOUS LAON BP,Bureau de Poste,2000,AULNOIS SOUS LAON,2037,49.612066,3.607631,49.612066
01145A,TOURNON SUR RHONE,Bureau de Poste,7300,TOURNON SUR RHONE,7324,45.070598,4.828298,45.070598
04221A,SAINT ASTIER BP,Bureau de Poste,24110,ST ASTIER,24372,45.144607,0.528519,45.144607
00215A,BEAURIEUX BP,Bureau de Poste,2160,BEAURIEUX,2058,49.393468,3.737492,49.393468
01148A,UZER AP,Agence postale communale,7110,UZER,7327,44.518982,4.324885,44.518982
04238A,SAINT GERMAIN DU SALEMBRE BP,Bureau de Poste,24190,ST GERMAIN DU SALEMBRE,24418,45.138412,0.450272,45.138412
00224A,BOUE BP,Bureau de Poste,2450,BOUE,2103,50.012806,3.700113,50.012806
01157A,VESSEAUX AP,Agence postale communale,7200,VESSEAUX,7339,44.652789,4.443679,44.652789
04250A,SAINT MEARD DE GURCON AP,Agence postale communale,24610,ST MEARD DE GURCON,24461,44.90904,0.183781,44.90904
00225A,BOURG ET COMIN BP,Bureau de Poste,2160,BOURG ET COMIN,2106,49.397106,3.654846,49.397106
01173A,AUBENAS LES OLIVIERS BP,Bureau de Poste,7200,AUBENAS,7019,44.619168,4.379699,44.619168
04253A,SAINT PARDOUX LA RIVIERE BP,Bureau de Poste,24470,ST PARDOUX LA RIVIERE,24479,45.49319,0.744652,45.49319
00229A,BRUNEHAMEL BP,Bureau de Poste,2360,BRUNEHAMEL,2126,49.7702,4.180773,49.7702
01175A,CHEMERY SUR BAR RP,Relais poste commer??ant,8450,CHEMERY CHEHERY,8115,49.60004,4.867052,49.60004
04255A,SAINT PIERRE DE CHIGNAC BP,Bureau de Poste,24330,ST PIERRE DE CHIGNAC,24484,45.12487,0.856575,45.12487
00239A,CHAUNY,Bureau de Poste,2300,CHAUNY,2173,49.614329,3.220699,49.614329
01176A,AIGLEMONT AP,Agence postale communale,8090,AIGLEMONT,8003,49.781008,4.765117,49.781008
04257A,SAINT PIERRE D EYRAUD AP,Agence postale communale,24130,ST PIERRE D EYRAUD,24487,44.848204,0.320423,44.848204
00247A,CORBENY AP,Agence postale communale,2820,CORBENY,2215,49.461989,3.822507,49.461989
01185A,AUTRECOURT ET POURRON AP,Agence postale communale,8210,AUTRECOURT ET POURRON,8034,49.612121,5.029105,49.612121
04258A,SAINT POMPONT AP,Agence postale communale,24170,ST POMPONT,24488,44.725992,1.14697,44.725992
00252A,CRECY SUR SERRE BP,Bureau de Poste,2270,CRECY SUR SERRE,2237,49.696009,3.623853,49.696009
01197A,CHARLEVILLE MEZIERES HOTEL DE VILLE BP,Bureau de Poste,8000,CHARLEVILLE MEZIERES,8105,49.760591,4.719209,49.760591
04261A,SAINT RABIER RP,Relais poste commer??ant,24210,ST RABIER,24491,45.168588,1.154547,45.168588
00253B,NEGREVILLE RP,Relais poste commer??ant,50260,NEGREVILLE,50369,49.490512,-1.54819,49.490512
01198A,CHATEAU PORCIEN BP,Bureau de Poste,8360,CHATEAU PORCIEN,8107,49.529324,4.244207,49.529324
04263A,SAINTE SABINE BORN AP,Agence postale communale,24440,BEAUMONTOIS EN PERIGORD,24028,44.692695,0.751637,44.692695
00257A,DIZY LE GROS AP,Agence postale communale,2340,DIZY LE GROS,2264,49.629644,4.020179,49.629644
01210A,GESPUNSART RP,Relais poste commer??ant,8700,GESPUNSART,8188,49.820866,4.829963,49.820866
04264A,SAINT SAUD LACOUSSIERE AP,Agence postale communale,24470,ST SAUD LACOUSSIERE,24498,45.542299,0.819401,45.542299
00258A,ESQUEHERIES AP,Agence postale communale,2170,ESQUEHERIES,2286,49.983499,3.747435,49.983499
01214A,LA GRANDVILLE AP,Agence postale communale,8700,LA GRANDVILLE,8199,49.779626,4.795837,49.779626
04266A,SAINT VINCENT DE CONNEZAC BP,Bureau de Poste,24190,ST VINCENT DE CONNEZAC,24509,45.163695,0.396922,45.163695
00260A,ESSOMES SUR MARNE BP,Bureau de Poste,2400,ESSOMES SUR MARNE,2290,49.029699,3.37504,49.029699
01224A,LONNY RP,Relais poste commer??ant,8150,LONNY,8260,49.816581,4.58528,49.816581
04272A,SARRAZAC AP,Agence postale communale,24800,SARRAZAC,24522,45.436597,1.029596,45.436597
00263A,ETREAUPONT BP,Bureau de Poste,2580,ETREAUPONT,2295,49.902327,3.916743,49.902327
01227A,MACHAULT RP,Relais poste commer??ant,8310,MACHAULT,8264,49.354195,4.498797,49.354195
04274A,SAVIGNAC LEDRIER AP,Agence postale communale,24270,SAVIGNAC LEDRIER,24526,45.363695,1.22022,45.363695
00264A,ETREILLERS BP,Bureau de Poste,2590,ETREILLERS,2296,49.829156,3.162134,49.829156
01228A,MARGUT BP,Bureau de Poste,8370,MARGUT,8276,49.585033,5.265239,49.585033
04280A,THENON BP,Bureau de Poste,24210,THENON,24550,45.140844,1.070655,45.140844
00267A,LA FERE BP,Bureau de Poste,2800,LA FERE,2304,49.662694,3.365116,49.662694
01229A,MATTON ET CLEMENCY RP,Relais poste commer??ant,8110,MATTON ET CLEMENCY,8281,49.665586,5.203686,49.665586
04288A,VARAIGNES AP,Agence postale communale,24360,VARAIGNES,24565,45.597798,0.530844,45.597798
00271A,FESMY LE SART AP,Agence postale communale,2450,FESMY LE SART,2308,50.041621,3.678004,50.041621
01243A,POURU ST REMY AP,Agence postale communale,8140,POURU ST REMY,8343,49.6786,5.0821,49.6786
04289A,VELINES BP,Bureau de Poste,24230,VELINES,24568,44.85696,0.11374,44.85696
00273A,FOLEMBRAY BP,Bureau de Poste,2670,FOLEMBRAY,2318,49.544396,3.290113,49.544396
